Massa_inicial Massa_final log_T_eff log_L
5.000000 0.836000 3.866000 4.243000
5.000000 0.836000 3.966000 4.242000
5.000000 0.836000 4.066000 4.242000
5.000000 0.836000 4.166000 4.242000
5.000000 0.836000 4.267000 4.242000
5.000000 0.836000 4.369000 4.242000
5.000000 0.836000 4.470000 4.242000
5.000000 0.836000 4.571000 4.241000
5.000000 0.836000 4.715000 4.240000
5.000000 0.836000 4.815000 4.238000
5.000000 0.836000 4.916000 4.234000
5.000000 0.836000 5.016000 4.229000
5.000000 0.836000 5.116000 4.220000
5.000000 0.836000 5.217000 4.202000
5.000000 0.836000 5.317000 4.168000
5.000000 0.836000 5.417000 4.075000
5.000000 0.836000 5.451000 3.974000
5.000000 0.836000 5.460000 3.872000
5.000000 0.836000 5.457000 3.770000
5.000000 0.836000 5.446000 3.655000
5.000000 0.836000 5.429000 3.522000
5.000000 0.836000 5.407000 3.388000
5.000000 0.836000 5.383000 3.249000
5.000000 0.836000 5.362000 3.136000
5.000000 0.836000 5.343000 3.034000
5.000000 0.836000 5.325000 2.931000
5.000000 0.836000 5.308000 2.827000
5.000000 0.836000 5.290000 2.721000
5.000000 0.836000 5.273000 2.621000
5.000000 0.836000 5.256000 2.519000
5.000000 0.836000 5.240000 2.419000
5.000000 0.836000 5.224000 2.318000
5.000000 0.836000 5.208000 2.217000
5.000000 0.836000 5.192000 2.116000
5.000000 0.836000 5.174000 2.016000
5.000000 0.836000 5.156000 1.915000
5.000000 0.836000 5.138000 1.815000
5.000000 0.836000 5.119000 1.715000
5.000000 0.836000 5.099000 1.615000
5.000000 0.836000 5.078000 1.514000
5.000000 0.836000 5.058000 1.413000
5.000000 0.836000 5.037000 1.313000
5.000000 0.836000 5.015000 1.213000
5.000000 0.836000 4.994000 1.113000
5.000000 0.836000 4.975000 1.029000
5.000000 0.836000 4.953000 0.928000
5.000000 0.836000 4.931000 0.828000
5.000000 0.836000 4.906000 0.715000
5.000000 0.836000 4.883000 0.613000
5.000000 0.836000 4.858000 0.503000
5.000000 0.836000 4.834000 0.401000
5.000000 0.836000 4.811000 0.298000
5.000000 0.836000 4.787000 0.196000
5.000000 0.836000 4.763000 0.094000
5.000000 0.836000 4.739000 -0.010000
5.000000 0.836000 4.714000 -0.113000
5.000000 0.836000 4.691000 -0.214000
5.000000 0.836000 4.667000 -0.315000
5.000000 0.836000 4.642000 -0.417000
5.000000 0.836000 4.619000 -0.517000
5.000000 0.836000 4.595000 -0.617000
5.000000 0.836000 4.571000 -0.718000
5.000000 0.836000 4.547000 -0.818000
5.000000 0.836000 4.522000 -0.919000
5.000000 0.836000 4.498000 -1.019000
5.000000 0.836000 4.474000 -1.120000
5.000000 0.836000 4.449000 -1.221000
5.000000 0.836000 4.425000 -1.322000
5.000000 0.836000 4.400000 -1.422000
5.000000 0.836000 4.376000 -1.523000
5.000000 0.836000 4.352000 -1.623000
5.000000 0.836000 4.327000 -1.724000
5.000000 0.836000 4.302000 -1.824000
