# M_inicial  M_final  log_T_eff  log_L
3.00000 0.66366 3.58273 4.07921
3.00000 0.66319 3.58670 4.07927
3.00000 0.66277 3.59037 4.07834
3.00000 0.66236 3.59383 4.07711
3.00000 0.66199 3.59764 4.07642
3.00000 0.66163 3.60149 4.07583
3.00000 0.66132 3.60455 4.07531
3.00000 0.66101 3.60964 4.07705
3.00000 0.66073 3.61627 4.07802
3.00000 0.66048 3.62351 4.07870
3.00000 0.66024 3.62740 4.07787
3.00000 0.66003 3.63124 4.07696
3.00000 0.65982 3.63505 4.07636
3.00000 0.65963 3.63874 4.07508
3.00000 0.65946 3.64269 4.07430
3.00000 0.65930 3.64671 4.07521
3.00000 0.65915 3.65056 4.07439
3.00000 0.65901 3.65488 4.07690
3.00000 0.65888 3.65897 4.07688
3.00000 0.65876 3.66311 4.07661
3.00000 0.65865 3.66732 4.07649
3.00000 0.65855 3.67169 4.07650
3.00000 0.65845 3.67651 4.07655
3.00000 0.65836 3.68100 4.07640
3.00000 0.65828 3.68530 4.07653
3.00000 0.65820 3.68965 4.07650
3.00000 0.65813 3.69395 4.07644
3.00000 0.65806 3.69830 4.07644
3.00000 0.65800 3.70275 4.07645
3.00000 0.65795 3.70716 4.07644
3.00000 0.65789 3.71169 4.07616
3.00000 0.65784 3.71607 4.07625
3.00000 0.65780 3.72067 4.07616
3.00000 0.65776 3.72531 4.07631
3.00000 0.65772 3.73003 4.07639
3.00000 0.65768 3.73481 4.07646
3.00000 0.65765 3.73968 4.07657
3.00000 0.65762 3.74505 4.07673
3.00000 0.65759 3.75025 4.07687
3.00000 0.65756 3.75482 4.07700
3.00000 0.65754 3.76071 4.07713
3.00000 0.65751 3.76765 4.07726
3.00000 0.65749 3.77463 4.07736
3.00000 0.65747 3.78250 4.07745
3.00000 0.65745 3.79292 4.07755
3.00000 0.65744 3.80474 4.07762
3.00000 0.65742 3.82111 4.07672
3.00000 0.65741 3.82822 4.07180
3.00000 0.65740 3.83534 4.06687
3.00000 0.65738 3.84245 4.06195
3.00000 0.65737 3.85000 4.05708
3.00000 0.65737 3.86382 4.05698
3.00000 0.65736 3.87764 4.05688
3.00000 0.65736 3.89146 4.05678
3.00000 0.65736 3.90528 4.05668
3.00000 0.65736 3.91911 4.05661
3.00000 0.65736 3.93293 4.05656
3.00000 0.65736 3.94675 4.05651
3.00000 0.65736 3.96057 4.05647
3.00000 0.65736 3.97439 4.05643
3.00000 0.65736 3.98821 4.05639
3.00000 0.65736 4.00203 4.05635
3.00000 0.65736 4.01585 4.05630
3.00000 0.65736 4.02967 4.05624
3.00000 0.65736 4.04349 4.05579
3.00000 0.65736 4.05731 4.05727
3.00000 0.65736 4.07113 4.05717
3.00000 0.65736 4.08496 4.05706
3.00000 0.65736 4.09878 4.05692
3.00000 0.65736 4.11260 4.05678
3.00000 0.65736 4.12642 4.05659
3.00000 0.65736 4.14024 4.05638
3.00000 0.65736 4.15406 4.05616
3.00000 0.65736 4.16788 4.05591
3.00000 0.65736 4.18170 4.05563
3.00000 0.65736 4.19552 4.05534
3.00000 0.65736 4.20934 4.05503
3.00000 0.65736 4.22316 4.05470
3.00000 0.65736 4.23699 4.05434
3.00000 0.65736 4.25081 4.05396
3.00000 0.65736 4.26463 4.05355
3.00000 0.65736 4.27845 4.05314
3.00000 0.65736 4.29227 4.05333
3.00000 0.65736 4.30609 4.05305
3.00000 0.65736 4.31991 4.05276
3.00000 0.65736 4.33373 4.05199
3.00000 0.65736 4.34755 4.05184
3.00000 0.65736 4.36137 4.05145
3.00000 0.65736 4.37519 4.05106
3.00000 0.65736 4.38902 4.05067
3.00000 0.65736 4.40284 4.05026
3.00000 0.65736 4.41666 4.04982
3.00000 0.65736 4.43048 4.04934
3.00000 0.65736 4.44430 4.04886
3.00000 0.65736 4.45812 4.04835
3.00000 0.65736 4.47194 4.04778
3.00000 0.65736 4.48576 4.04716
3.00000 0.65736 4.49958 4.04659
3.00000 0.65736 4.51340 4.04611
3.00000 0.65736 4.52722 4.04532
3.00000 0.65736 4.54105 4.04471
3.00000 0.65736 4.55487 4.04431
3.00000 0.65736 4.56869 4.04345
3.00000 0.65736 4.58251 4.04292
3.00000 0.65736 4.59633 4.04228
3.00000 0.65736 4.61015 4.04195
3.00000 0.65736 4.62397 4.04119
3.00000 0.65736 4.63779 4.04059
3.00000 0.65736 4.65161 4.03996
3.00000 0.65736 4.66543 4.03911
3.00000 0.65736 4.67926 4.03822
3.00000 0.65736 4.69308 4.03735
3.00000 0.65736 4.70690 4.03651
3.00000 0.65736 4.72072 4.03551
3.00000 0.65736 4.73454 4.03453
3.00000 0.65736 4.74836 4.03348
3.00000 0.65736 4.76218 4.03241
3.00000 0.65736 4.77600 4.03145
3.00000 0.65736 4.78982 4.03030
3.00000 0.65736 4.80364 4.02918
3.00000 0.65736 4.81747 4.02805
3.00000 0.65736 4.83129 4.02686
3.00000 0.65736 4.84511 4.02561
3.00000 0.65735 4.85893 4.02445
3.00000 0.65735 4.87275 4.02321
3.00000 0.65735 4.88657 4.02197
3.00000 0.65735 4.90039 4.02067
3.00000 0.65735 4.91421 4.01938
3.00000 0.65735 4.92803 4.01803
3.00000 0.65735 4.94185 4.01673
3.00000 0.65735 4.95567 4.01530
3.00000 0.65735 4.96950 4.01384
3.00000 0.65735 4.98332 4.01232
3.00000 0.65735 4.99714 4.01084
3.00000 0.65735 5.01096 4.00923
3.00000 0.65735 5.02478 4.00755
3.00000 0.65735 5.03860 4.00576
3.00000 0.65735 5.05242 4.00392
3.00000 0.65735 5.06624 4.00188
3.00000 0.65735 5.08006 3.99979
3.00000 0.65735 5.09388 3.99762
3.00000 0.65735 5.10770 3.99533
3.00000 0.65735 5.12153 3.99296
3.00000 0.65735 5.13535 3.99068
3.00000 0.65735 5.14917 3.98918
3.00000 0.65735 5.16299 3.98822
3.00000 0.65735 5.17681 3.98113
3.00000 0.65735 5.19063 3.97677
3.00000 0.65735 5.20445 3.97138
3.00000 0.65735 5.21827 3.96532
3.00000 0.65735 5.23209 3.95831
3.00000 0.65735 5.24003 3.95341
3.00000 0.65735 5.24736 3.94850
3.00000 0.65735 5.25565 3.94360
3.00000 0.65735 5.26138 3.93870
3.00000 0.65735 5.26735 3.93380
3.00000 0.65735 5.27333 3.92890
3.00000 0.65735 5.27724 3.92400
3.00000 0.65735 5.28271 3.91910
3.00000 0.65735 5.28661 3.91419
3.00000 0.65735 5.29174 3.90929
3.00000 0.65735 5.29516 3.90439
3.00000 0.65735 5.29849 3.89949
3.00000 0.65735 5.30266 3.89459
3.00000 0.65735 5.30566 3.88969
3.00000 0.65735 5.30878 3.88479
3.00000 0.65735 5.31118 3.87988
3.00000 0.65735 5.31413 3.87498
3.00000 0.65735 5.31727 3.87008
3.00000 0.65734 5.31940 3.86518
3.00000 0.65734 5.32178 3.86028
3.00000 0.65734 5.32367 3.85538
3.00000 0.65734 5.32576 3.85048
3.00000 0.65734 5.32799 3.84558
3.00000 0.65734 5.32987 3.84068
3.00000 0.65734 5.33198 3.83577
3.00000 0.65734 5.33386 3.83087
3.00000 0.65734 5.33541 3.82597
3.00000 0.65734 5.33708 3.82107
3.00000 0.65734 5.33825 3.81617
3.00000 0.65734 5.33994 3.81127
3.00000 0.65734 5.34142 3.80637
3.00000 0.65734 5.34288 3.80146
3.00000 0.65734 5.34376 3.79656
3.00000 0.65734 5.34498 3.79166
3.00000 0.65734 5.34619 3.78676
3.00000 0.65734 5.34742 3.78186
3.00000 0.65734 5.34776 3.77696
3.00000 0.65734 5.34926 3.77206
3.00000 0.65734 5.35019 3.76715
3.00000 0.65734 5.35084 3.76225
3.00000 0.65734 5.35169 3.75735
3.00000 0.65734 5.35259 3.75245
3.00000 0.65734 5.35313 3.74755
3.00000 0.65734 5.35407 3.74265
3.00000 0.65734 5.35443 3.73775
3.00000 0.65734 5.35509 3.73285
3.00000 0.65734 5.35553 3.72795
3.00000 0.65734 5.35639 3.72304
3.00000 0.65734 5.35670 3.71814
3.00000 0.65734 5.35703 3.71324
3.00000 0.65734 5.35976 3.67611
3.00000 0.65734 5.36046 3.63898
3.00000 0.65734 5.36031 3.60184
3.00000 0.65734 5.35915 3.56471
3.00000 0.65734 5.35688 3.52758
3.00000 0.65734 5.35471 3.49045
3.00000 0.65734 5.35148 3.45331
3.00000 0.65734 5.34785 3.41618
3.00000 0.65734 5.34367 3.37905
3.00000 0.65734 5.33930 3.34192
3.00000 0.65734 5.33440 3.30478
3.00000 0.65734 5.32980 3.26765
3.00000 0.65734 5.32446 3.23052
3.00000 0.65734 5.31873 3.19339
3.00000 0.65734 5.31322 3.15625
3.00000 0.65734 5.30708 3.11912
3.00000 0.65734 5.30115 3.08199
3.00000 0.65734 5.29461 3.04486
3.00000 0.65734 5.28835 3.00773
3.00000 0.65734 5.28196 2.97059
3.00000 0.65734 5.27545 2.93346
3.00000 0.65734 5.26849 2.89633
3.00000 0.65734 5.26176 2.85920
3.00000 0.65734 5.25496 2.82206
3.00000 0.65734 5.24770 2.78493
3.00000 0.65734 5.24075 2.74780
3.00000 0.65734 5.23375 2.71067
3.00000 0.65734 5.22633 2.67353
3.00000 0.65734 5.21927 2.63640
3.00000 0.65734 5.21198 2.59927
3.00000 0.65734 5.20465 2.56214
3.00000 0.65734 5.19758 2.52500
3.00000 0.65734 5.19023 2.48787
3.00000 0.65734 5.18288 2.45074
3.00000 0.65734 5.17561 2.41361
3.00000 0.65734 5.16814 2.37647
3.00000 0.65734 5.16111 2.33934
3.00000 0.65734 5.15785 2.30221
3.00000 0.65734 5.15151 2.26508
3.00000 0.65734 5.14437 2.22795
3.00000 0.65734 5.13740 2.19081
3.00000 0.65734 5.13047 2.15368
3.00000 0.65734 5.12357 2.11655
3.00000 0.65734 5.11667 2.07942
3.00000 0.65734 5.10975 2.04228
3.00000 0.65734 5.10280 2.00515
3.00000 0.65734 5.09581 1.96802
3.00000 0.65734 5.08878 1.93088
3.00000 0.65734 5.08171 1.89375
3.00000 0.65734 5.07459 1.85662
3.00000 0.65734 5.06744 1.81949
3.00000 0.65734 5.06024 1.78236
3.00000 0.65734 5.05300 1.74522
3.00000 0.65734 5.04573 1.70809
3.00000 0.65734 5.03843 1.67096
3.00000 0.65734 5.03109 1.63383
3.00000 0.65734 5.02371 1.59669
3.00000 0.65734 5.01631 1.55956
3.00000 0.65734 5.00889 1.52243
3.00000 0.65734 5.00144 1.48530
3.00000 0.65734 4.99397 1.44816
3.00000 0.65734 4.98648 1.41103
3.00000 0.65734 4.97896 1.37390
3.00000 0.65734 4.97143 1.33677
3.00000 0.65734 4.96389 1.29963
3.00000 0.65734 4.95633 1.26250
3.00000 0.65734 4.94875 1.22537
3.00000 0.65734 4.94116 1.18824
3.00000 0.65734 4.93356 1.15111
3.00000 0.65734 4.92593 1.11397
3.00000 0.65734 4.91829 1.07684
