# M_inicial  M_final  log_T_eff  log_L
1.00000 0.52821 4.48984 3.50497
1.00000 0.52819 4.60913 3.49741
1.00000 0.52816 4.81518 3.45682
1.00000 0.52811 5.05900 2.99336
1.00000 0.52811 4.97198 2.00577
3.00000 0.65736 4.51340 4.04611
3.00000 0.65736 4.66543 4.03911
3.00000 0.65735 4.98332 4.01232
3.00000 0.65734 5.10280 2.00515
3.00000 0.65735 5.19063 3.97677
3.00000 0.65734 5.36046 3.63898
3.00000 0.65734 5.30708 3.11912
3.00000 0.65734 5.22633 2.67353
5.000000 0.836000 4.470000 4.242000
5.000000 0.836000 4.715000 4.240000
5.000000 0.836000 4.916000 4.234000
5.000000 0.836000 5.116000 4.220000
5.000000 0.836000 5.317000 4.168000
5.000000 0.836000 5.417000 4.075000
5.000000 0.836000 5.460000 3.872000
5.000000 0.836000 5.383000 3.249000
5.000000 0.836000 5.273000 2.621000
7.000000 0.940000 4.560000 4.412000
7.000000 0.940000 4.775000 4.411000
7.000000 0.940000 5.091000 4.405000
7.000000 0.940000 5.200000 4.400000
7.000000 0.940000 5.510000 4.338000
7.000000 0.940000 5.619000 4.090000
7.000000 0.940000 5.572000 3.694000
7.000000 0.940000 5.487000 3.263000
7.000000 0.940000 5.344000 2.557000
7.000000 0.940000 5.246000 2.054000
